"Año";"Periodo";"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";"Fabricación de productos metálicos, excepto maquinaria y equipo";"Fabricación de productos informáticos, electrónicos y ópticos";"Fabricación de material y equipo eléctrico";"Fabricación de maquinaria y equipo (sin incluir el resto)";"Fabricación de vehículos de motor, remolques y semirremolques";"Fabricación de otro material de transporte"
"2008";"Trimestre 1";"124,2";"387";"64,2";"96,3";"172,4";"245,7";"72,9"
"2008";"Trimestre 2";"115,8";"388,1";"54,2";"103,3";"157,2";"246";"68,7"
"2008";"Trimestre 3";"120,5";"371,5";"50,3";"100,1";"164,1";"237,1";"69,9"
"2008";"Trimestre 4";"101,1";"350,9";"58,7";"92,3";"157,5";"218";"67"
"2009";"Trimestre 1";"95,6";"310";"49,4";"90,3";"150,3";"217,1";"64,8"
"2009";"Trimestre 2";"93,9";"274";"55,9";"78,5";"140,7";"220,5";"67,7"
"2009";"Trimestre 3";"94,4";"266,7";"54,5";"77,9";"134,6";"206,9";"71,3"
"2009";"Trimestre 4";"98";"265,8";"55,5";"81,7";"129,8";"206,8";"72,7"
"2010";"Trimestre 1";"90,5";"254,4";"49,6";"76";"123,3";"209,6";"77,1"
"2010";"Trimestre 2";"94,7";"254,4";"46,4";"75,6";"129,1";"215,3";"76"
"2010";"Trimestre 3";"90,6";"260,6";"55,3";"80,3";"136,5";"197,7";"75,4"
"2010";"Trimestre 4";"96,5";"259,3";"50,4";"81,1";"136,1";"190,8";"67,6"
"2011";"Trimestre 1";"92,6";"252,5";"53,5";"73,9";"136,1";"192,9";"63,5"
"2011";"Trimestre 2";"86,8";"256,8";"53";"73,8";"137,6";"208,8";"73,7"
"2011";"Trimestre 3";"85,2";"269,9";"52,5";"67,8";"148,1";"205";"66,9"
"2011";"Trimestre 4";"84,8";"271,7";"46,3";"70,9";"137,8";"212,5";"64,6"
"2012";"Trimestre 1";"83,7";"244,8";"42,5";"62,3";"138,6";"206,9";"63,3"
"2012";"Trimestre 2";"77,1";"235,5";"49,8";"68,3";"131,3";"200,6";"54,9"
"2012";"Trimestre 3";"77,5";"237,2";"45,4";"68,3";"135,4";"200,8";"61,4"
"2012";"Trimestre 4";"82,3";"226";"41";"71,7";"131";"186";"54,8"
"2013";"Trimestre 1";"78,5";"218,1";"39,4";"75,3";"119";"185";"59,2"
"2013";"Trimestre 2";"73";"217";"46,3";"70,2";"122,5";"188";"66,6"
"2013";"Trimestre 3";"77";"210,8";"41,4";"72,8";"123,4";"189,8";"69"
"2013";"Trimestre 4";"75,4";"203,5";"39,5";"79,2";"120,7";"193,5";"70,1"
"2014";"Trimestre 1";"73";"191,1";"37,4";"69,1";"118,9";"194,3";"67,4"
"2014";"Trimestre 2";"71,3";"195,2";"38,7";"63,2";"124,6";"199,2";"67,7"
"2014";"Trimestre 3";"76,4";"197,6";"38,1";"65,7";"128,1";"215,6";"61,3"
"2014";"Trimestre 4";"74,9";"216,7";"32,6";"62,3";"126,8";"219,4";"60,2"
"2015";"Trimestre 1";"79,8";"212,7";"33,4";"64,4";"121,1";"218,4";"62,1"
"2015";"Trimestre 2";"83,6";"212,9";"33";"66,3";"125,7";"220,3";"64,2"
"2015";"Trimestre 3";"80";"220,3";"30,9";"62,5";"139,3";"214,3";"69,3"
"2015";"Trimestre 4";"80,5";"225,6";"33,1";"66,2";"136,7";"219,8";"61"
"2016";"Trimestre 1";"78";"227,6";"33,2";"65,2";"146,9";"226,4";"62,4"
"2016";"Trimestre 2";"80,8";"227,5";"34,4";"70";"138,5";"228,5";"57,7"
"2016";"Trimestre 3";"80,2";"226,9";"34,4";"66,3";"149,7";"227";"56,1"
"2016";"Trimestre 4";"87,4";"217";"42,3";"65,4";"148,4";"240,9";"60,7"
"2017";"Trimestre 1";"95,3";"199,4";"42";"69,6";"157,7";"235";"62,5"
"2017";"Trimestre 2";"94,3";"208,3";"39,8";"69,7";"152,4";"226,6";"63,3"
"2017";"Trimestre 3";"88,4";"219,7";"40,6";"72,7";"161,7";"226,1";"63,2"
"2017";"Trimestre 4";"85,4";"223,1";"41,6";"77,3";"163,5";"242,3";"68,7"
"2018";"Trimestre 1";"89,2";"222,3";"41,6";"72";"162";"229,1";"73,5"
"2018";"Trimestre 2";"93";"237,9";"42,8";"75,3";"152,7";"236,9";"75,7"
"2018";"Trimestre 3";"88";"242";"46,9";"76";"146,6";"248,1";"75,5"
"2018";"Trimestre 4";"85,6";"226,7";"44,3";"67,8";"155,1";"236,2";"73,8"
"2019";"Trimestre 1";"86,3";"230";"47,9";"64,6";"160,5";"231,1";"71,1"
"2019";"Trimestre 2";"84,2";"236,6";"45,9";"66,9";"146,9";"234,2";"72,9"
"2019";"Trimestre 3";"95,8";"241";"47,5";"71,9";"152,8";"228,1";"77"
"2019";"Trimestre 4";"82,8";"241,9";"45,7";"73,4";"155,8";"219,1";"77,3"
"2020";"Trimestre 1";"78,1";"256,4";"40,4";"74,4";"151,6";"222,2";"77,5"
"2020";"Trimestre 2";"77,4";"236,7";"38,9";"73,6";"143,2";"213,1";"76,4"
"2020";"Trimestre 3";"78,2";"234,4";"38,4";"71,7";"147";"220,3";"77,8"
"2020";"Trimestre 4";"76,3";"244,4";"36,9";"68,5";"157,5";"232,4";"77,6"
"2021";"Trimestre 1";"79,9";"249";"34,1";"73,5";"154,6";"249,5";"56,7"
"2021";"Trimestre 2";"75,1";"270,4";"31,5";"73,3";"165,1";"243,1";"64,5"
"2021";"Trimestre 3";"86,2";"261,1";"40";"82,5";"173,7";"235,8";"67,3"
;;;;;;;;
;;;;;;;;
"Métrica":"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Fabricación de productos metálicos, excepto maquinaria y equipo"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Fabricación de productos informáticos, electrónicos y ópticos"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Fabricación de material y equipo eléctrico"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Fabricación de maquinaria y equipo (sin incluir el resto)"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Fabricación de vehículos de motor, remolques y semirremolques"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Fabricación de otro material de transporte"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Url":"https://www.epdata.es/evolucion-ocupados-sector-metal-espana/859d4772-0424-4917-87f2-ba4b11311b73"
"Titulo":"Evolución de los ocupados en el sector del metal en España"
"Subtitulo":""
